objectid,ruta,linea,itinerario,sentido,sistema,cuenca,municipio,id_ruta,st_lengthshape
23,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Estación Exposiciones,1,A,6,05001,20,6429.88016098764
24,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Reserva del Seminario,2,A,6,05001,20,6754.14871654821
25,C6-005,C6-005 Vergel - Parque San Antonio,C6-005 El Vergel,2,A,6,05001,21,5063.47949293113
26,C6-005,C6-005 Vergel - Parque San Antonio,C6-005 Parque San Antonio,1,A,6,05001,21,5183.33561583386
27,C6-006,C6-006 Villa Liliam - Estación Alejandro Echavarría,C6-006 Estación Alejandro Echavarría,1,A,6,05001,23,1298.33509324612
28,C6-006,C6-006 Villa Liliam - Estación Alejandro Echavarría,C6-006 Villa Liliam,2,A,6,05001,23,1886.93323990717
29,C6-007,C6-007 Cataluña - Parque San Antonio,C6-007 Cataluña,2,A,6,05001,24,3103.79505074641
30,C6-007,C6-007 Cataluña - Parque San Antonio,C6-007 Parque San Antonio,1,A,6,05001,24,4163.35394994012
31,C6-008,C6-008 La Libertad - Estación Prado,C6-008 Estación Prado,1,A,6,05001,25,3872.23076348332
32,C6-008,C6-008 La Libertad - Estación Prado,C6-008 La Libertad,2,A,6,05001,25,5108.80131697762
33,C6-009,C6-009 Enciso - Estación Prado,C6-009 Enciso,2,A,6,05001,26,4914.16976115608
34,C6-009,C6-009 Enciso - Estación Prado,C6-009 Estación Prado,1,A,6,05001,26,4783.26967734093
35,C6-010,C6-010 Villatina - Estación Parque Berrío,C6-010 Estación Parque Berrío,1,A,6,05001,27,5705.9876371459
36,C6-010,C6-010 Villatina - Estación Parque Berrío,C6-010 Villatina,2,A,6,05001,27,7044.94440100611
38,C6-011,C6-011 Popular N.2 - El Playón - Acevedo,C6-011 Popular N.2 - El Playón - Acevedo,3,A,6,05001,28,3938.33404020342
39,C6-012,C6-012 La Francia - Estacion Acevedo,C6-012 Acevedo - Aranjuez - La Francia,3,A,6,05001,29,5713.28049252441
40,C6-013,C6-013 Popular N.1 - Estación Tricentenario,C6-013 Estación Tricentenario,1,A,6,05001,31,4013.21718756026
41,C6-013,C6-013 Popular N.1 - Estación Tricentenario,C6-013 Popular No.1,2,A,6,05001,31,4145.17556817106
42,C6-014,C6-014 La Ladera - Prado,C6-014 La Ladera,2,A,6,05001,32,2614.37656302409
43,C6-014,C6-014 La Ladera - Prado,C6-014 Prado,1,A,6,05001,32,2478.11040250943
44,C6-016,C6-016 Nuevo Horizonte - Estación Hospital,C6-016 Estación Hospital,1,A,6,05001,34,6474.74349733154
45,C6-016,C6-016 Nuevo Horizonte - Estación Hospital,C6-016 Nuevo Horizonte,2,A,6,05001,34,6147.22088494522
