rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
70,"spotify:track:4T18CIOag4LfuqqfzyBQmw","Ryan Castro","Malory","King Records",19,85,124,"348636"
71,"spotify:track:4f49sFQko7jHLEFd3tCf5p","Don Omar","Ojitos Chiquitos","UMLE - Machete",55,83,139,"347926"
72,"spotify:track:6ED7qim1NAX1HjNU8039WS","Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel","Alucin","WKMX, División of WK Records / RB Records",72,82,4,"347732"
73,"spotify:track:4khWEpnaijN0G1x019Uzdr","Morat","No Se Va","Universal Music Spain S.L.",34,93,134,"347221"
74,"spotify:track:3jXlnjcqh0oVlEimqYIZ7P","Blessd, Jory Boy","SI A BUENO","WEA Latina",63,63,2,"345324"
75,"spotify:track:1txhQHV26PyOJJarkYtkOn","YOVNGCHIMI, Dei V","TU$$I (with Dei V)","Glizzy Gvng Inc./Encore",75,149,2,"343058"
76,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",31,75,33,"341771"
77,"spotify:track:4BXG52ul7GlV4Qpve6JDJo","Ñejo & Dalmata","Señal De Vida","La Fama Alstars, LLC.",67,71,44,"339191"
78,"spotify:track:2gN4tTPjZceqOy2F0OJZQk","Blessd","SORNERITO","WEA Latina",23,23,2,"338178"
79,"spotify:track:2FhmPPAersOD9YcQ9v8upy","Feid","50 PALOS","UMLE - Latino",13,94,10,"337788"
80,"spotify:track:5nSUskJwcSRFS9dIqrVfrv","Dei V","Quien Es Dei V?","Encore Recordings",80,96,19,"335692"
81,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",81,95,6,"332606"
82,"spotify:track:2CBcMmYzUemXGeEJ16NHHh","Blessd, Ryan Castro, SOG","OJITOS ROJOS - REMIX","WEA Latina",29,53,32,"328113"
83,"spotify:track:3qQbCzHBycnDpGskqOWY0E","Eslabon Armado, Peso Pluma","Ella Baila Sola","DEL Records",1,84,47,"326756"
84,"spotify:track:0GJwUAlBMJTbY4VE7iE761","KAROL G, Cris Mj, Ryan Castro","UNA NOCHE EN MEDELLÍN - REMIX","Bichota/Interscope Records",9,91,26,"324401"
85,"spotify:track:3nNmRE0DxHC6ZaKkrpUumS","Bad Bunny, Young Miko","FINA","Rimas Entertainment LLC",3,92,17,"323152"
86,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",10,90,19,"320855"
87,"spotify:track:7MmrcXVA7A5zZ2CbDuGHNa","Rels B","A Mí","DALE PLAY Records / Flakk Team",73,108,205,"318765"
88,"spotify:track:4GvEuYAfJlICR2SpMDaBxQ","Jere Klein, Gittobeatz","ANDO","2023 JERE KLEIN",76,104,9,"317882"
89,"spotify:track:2LWM5Ft0TdX24GeSq1u6PV","Feid","FERXXO 30","UMLE - Latino",7,100,18,"312484"
90,"spotify:track:4dyzxv5SsdBtunuU3qj7Ti","Fresto Music","Me Hace Daño Verte","Codiscos",30,101,78,"312398"
